Rank,Attraction
1,Ripley's Aquarium of Canada
2,Niagara Falls Canada
3,Parliament Hill and Buildings
4,Toronto Island Park
5,Lake Ontario
6,Peller Estates Winery
7,Port Credit
8,Dundurn Castle
9,Springbank Park
10,Kingston Waterfront
11,The Grotto
12,CN Tower
13,Windsor Riverfront
14,Canadian War Museum
15,Vaughan Mills
16,St. Lawrence Market
17,Gage Park
18,Fort Henry National Historic Site
19,Flowerpot Island
20,Burlington Waterfront Trail
21,Rideau Canal National Historic Site
22,Blue Mountain Village
23,Donald M. Gordon Chinguacousy Park
24,Royal Ontario Museum
25,HMCS Haida National Historic Site
26,Reesor Farm Market
27,Huron Natural Area
28,Sandbanks Provincial Park
29,Victoria Park
30,Lion's Valley Park
