Rank,Attraction
1,Capitol Building
2,Maquoketa Caves State Park
3,National Mississippi River Museum & Aquarium
4,Iowa State Fairgrounds
5,Figge Art Museum
6,National Czech & Slovak Museum & Library
7,Vander Veer Botanical Park
8,Blank Park Zoo
9,Devonian Fossil Gorge
10,Fenelon Place Elevator Co.
11,Nile Kinnick Stadium
12,The Putnam Museum & Science Center
13,Lewis and Clark Interpretive Center
14,Gray's Lake Park
15,Pappajohn Sculpture Park
16,Principal Park
17,Union Pacific Railroad Museum
18,Downtown Farmers Market
19,Mississippi River Distilling Company & Cody Road Cocktail House
20,Buffalo Bill Museum
21,John Deere Tractor & Engine Museum
22,Old Capitol Museum
23,Lewis and Clark Monument and Scenic Overlook
24,Lost Island Water Park
25,Brucemore
26,Reiman Gardens
27,Wabash Trace Nature Trail
28,Upper Iowa River
29,Dunnings Spring Park
30,Grant Wood Scenic Byway
