Rank,Attraction
1,Ernie Miller Nature Center
2,Mahaffie Stagecoach Stop & Farm Historic Site
3,Stone Pillar Vineyard & Winery
4,Heritage Park
5,Kansas City Automotive Museum
6,Kill Creek Park
7,Black Bob Park
8,KC Wine Co.
9,"Museum of Deaf History, Art and Culture"
10,Coffee Creek Trail
11,Red Crow Brewing Company
12,Ensor Park and Museum
13,Green Expressions
14,AMC DINE-IN Studio 28
15,Centerfire Shooting Sports
16,Chestnut Fine Arts Center
17,Main Event Entertainment
18,Pinot's Palette
19,Olathe East Lanes
20,Prairie Highlands Golf Course
21,KC Copters
22,Olathe Glass & Home Decor
23,The Haunted Taxi Ghost Tours
24,Double Nickel Olathe's Best Kept Secret
25,G's Creations
26,Heritage Park Golf Course
27,Mission Bowl
28,Uhaunted.com
29,Olathe Prairie Center
30,Dub V's Bar & Deli
