Rank,Attraction
1,Parliament Hill and Buildings
2,Canadian War Museum
3,Rideau Canal National Historic Site
4,Canadian Museum of Nature
5,National Gallery of Canada
6,Canada Aviation and Space Museum
7,Peace Tower
8,Small Pony Barrel Works
9,Royal Canadian Mint
10,Notre Dame Basilica
11,Hog's Back Falls
12,Major's Hill Park
13,Bank of Canada Museum
14,Covered Bridge Brewing Company
15,Carp Farmers' Market
16,Stray Dog Brewing Company
17,Rideau Hall
18,Ottawa Locks
19,Canada Science and Technology Museum
20,National War Memorial
21,Walter Baker Park
22,Watson's Mill
23,Dows Lake Pavilion
24,Humanics Sanctuary & Sculpture Park
25,Jabulani Vineyard & Winery
26,Mooney’s Bay Park
27,Blessed St. Xenia of Petersburg Church
28,Kanata Leisure Centre and Wave Pool
29,Alexandra Bridge
30,Morris Island Conservation Area
