Rank,Attraction
1,Stones River National Battlefield
2,Cannonsburgh  Village
3,Discovery Center
4,Oaklands Mansion
5,Earth Experience - Middle Tennessee Museum of Natural History
6,Stones River Greenway
7,Mayday Brewery
8,Wat Lao Buddhist Temple
9,Stones River National Cemetery
10,Batey Farms
11,Old Fort Park
12,Stones River Mall
13,Barfield Crescent Park
14,Center for the Arts
15,The Avenue Murfreesboro
16,Hazen Brigade Monument
17,Walter Hill Hydroelectric Station
18,Patterson Park Community Center
19,Tennessee Miller Coliseum
20,Main Street Saturday Market
21,Fortress Rosecrans
22,The Grumpy Bookpeddler
23,General Bragg Trailhead
24,Sports*com
25,Gateway Island
26,Wilderness Station
27,Siegel Soccer Complex & Community Park
28,Boro Beach
29,Bradley Academy Museum
30,Rutherford County Convention & Visitors Bureau
