Rank,Attraction
1,Terry Fox Monument
2,Fort William Historical Park
3,The Blue Point Amethyst Mine
4,Mount McKay
5,Marina Park
6,Hillcrest Park
7,Centennial Botanical Conservatory
8,Mission Island Marsh Conservation Area
9,Sleeping Giant Brewing Company
10,Centennial Park
11,Cascades Conservation Area
12,Pigeon River Provincial Park
13,Chippewa Park
14,Thunder Bay Museum
15,International Friendship Garden
16,Belluz Farms
17,OLG Casino Thunder Bay
18,Silver Falls Provincial Park
19,Dawson Trail Craft Brewery
20,Thunder Bay Country Market
21,Thunder Bay Art Gallery
22,St. Paul's Anglican Church
23,Founders' Museum & Pioneer Village
24,Magnus Theater
25,Kamview Nordic Ski Centre
26,Loch Lomond Ski Area
27,Hazelwood Lake Conservation Area
28,Marie Louise Lake
29,Thunder Bay Tourist Pagoda
30,Port Arthur Stadium
