Rank,Attraction
1,Rock Bridge Memorial State Park
2,Shelter Gardens
3,Stephens Lake Park
4,Eagle Bluffs Conservation Area
5,Francis Quadrangle
6,Faurot Field
7,Finger Lakes State Park
8,Shryocks Callaway Farms
9,Mizzou Arena
10,Museum of Art and Archaeology
11,Twin Lakes Recreation Area
12,Midway Antique Mall and Flea Market
13,Columbia Mall
14,University of Missouri
15,Artichoke Annie's Antique Mall
16,Bur Oak Brewing Company
17,Cosmo Park
18,The Blue Note
19,Grindstone Nature Area
20,The State Historical Society of Missouri Center for Missouri Studies
21,Logboat Brewing Company
22,Columbia Art League
23,Columbia Cemetery
24,Rose Music Hall
25,D&D Animal Sanctuary
26,PS Gallery
27,Museum of Anthropology
28,Taylor Stadium - University of Missouri
29,Veranda Antique Mall
30,Lions-Stephens Park
