Rank,Attraction
1,Mill Lake
2,Clayburn Village
3,Field House Brewing Co
4,EcoDairy
5,Highstreet
6,Applebarn at Taves Family Farms
7,Tanglebank Gardens
8,Maan Farms Country Experience
9,Discovery Trail
10,Abbotsford Entertainment & Sports Centre
11,Willband Creek Park
12,Mennonite Heritage Museum
13,Albert Dyck Park
14,Willow View Farms
15,Tradex - Tradex & Exhibition Centre
16,The Reach Gallery Museum Abbotsford
17,Matsqui Trail Regional Park
18,Tuscan Farm Gardens
19,Abbotsford Recreation Centre
20,International Friendship Garden
21,Fishtrap Creek Park
22,Fraser Valley Trout Hatchery & Visitor Centre
23,Granny & Grumpa's Antiques
24,Silverbrook U-Catch Trout
25,Howard Wong Farms
26,Old Abbey Ales
27,Tourism Abbotsford Visitor Centre
28,Nature's Pickin's Market
29,Trethewey House Heritage Site
30,Sevenoaks Shopping Centre
