Rank,Attraction
1,Western Development Museum
2,University of Saskatchewan
3,Meewasin Valley
4,Saskatoon Forestry Farm Park & Zoo
5,Beaver Creek Conservation Area
6,Nutrien Playland at Kinsmen Park
7,Remai Modern
8,Pike Lake Provincial Park
9,Black Fox Farm and Distillery
10,Wanuskewin Heritage Park
11,Marquis Downs
12,Saskatoon Farmers Market
13,Crossmount Cider Company
14,Prairie Sun Brewery and Cafe
15,Ukrainian Museum of Canada
16,Cranberry Flats Conservation Area
17,9 Mile Legacy Brewing
18,TCU Place
19,Floral Acres Greenhouse
20,University of Saskatchewan Observatory
21,The Barn Playhouse
22,Diefenbaker Canada Centre
23,Karttrak Go-Karts
24,Shelter Brewing Company
25,Persephone Theatre
26,Saskatchewan Railway Museum
27,Nutrien Wonderhub
28,The Strawberry Ranch
29,St. John's Anglican Cathedral
30,SaskTel Centre
