Rank,Attraction
1,Deutsch-Franzosischer Garten
2,Saarbrücken Old Town
3,Ludwigskirche - Evangelische Kirchengemeinde Alt-Saarbrucken
4,Europa Galerie
5,Saarbrucker Zoo
6,Bade- und Saunawelt Calypso
7,Rathaus St. Johann
8,Basilika Saarbrücken
9,Historical Museum Saar
10,Saarlandmuseum Moderne Galerie
11,Saarläendisches Staatstheater
12,Saar Alpaka Gbr
13,Stiftskirche St. Arnual
14,Museum in der Schlosskirche
15,Schwarzenbergturm
16,Rennbahn Saarbrucken Gudingen
17,Saarlandhalle
18,Christ Konig Kirche
19,Theater im Viertel   Studiotheater
20,Hallenbad Dudweiler
21,Ludwigsparkstadion
22,Landtag des Saarlandes
23,Neuapostolische Kirche Saarbrücken
24,Gedenkstätte Gestapo-Lager Neue Bremm
25,Buergerpark
26,Heimatmuseum St. Arnual
27,Kieselhumes
28,Museum für Vor- und Frühgeschichte
29,Katholische Pfarrkirche St. Jakob
30,Exit Adventures
