Rank,Attraction
1,Quarry Hill Nature Center
2,Mayowood Mansion
3,The Plummer Building - Mayo Clinic Historical Suite
4,Plummer House
5,Soldiers Field Veterans Memorial
6,Gonda Building
7,Douglas Trail
8,Mayo Civic Center
9,Silver Lake
10,Salem Glen Vineyard and Winery
11,Assisi Heights
12,LTS Brewing Company
13,Apache Mall
14,Little Thistle Brewing
15,Chateau Theater
16,Kinney Creek Brewery
17,Rochester Downtown Farmer's Market
18,Rochester Art Center
19,History Center of Olmsted County
20,Galleria at University Square
21,Siebens Building
22,Rochester Civic Theatre
23,Cooke Park
24,Rochester Recreation Center
25,Mayo Field
26,Post Town Winery
27,Heritage House
28,Cascade Meadow Wetlands & Environmental Science Center
29,King's Marina
30,Semva Art Gallery
