Rank,Attraction
1,Fort Vancouver National Historic Site
2,Esther Short Park
3,Waterfront Renaissance Trail
4,Vancouver Farmers Market - Downtown Market
5,Officers' Row
6,Vancouver Waterfront
7,Pearson Field and Pearson Air Museum
8,Vancouver Land Bridge
9,Ulysses S. Grant House
10,George C. Marshall House
11,Vancouver Lake Park
12,Frenchmans Bar Regional Park
13,Salmon Creek Park
14,Vancouver Community Library
15,Vancouver Mall
16,Magenta Theater
17,Wintler Community Park
18,C-TRAN Buses
19,Fort Vancouver National Historic Site Garden
20,Old Glory Antique Mall
21,Interstate Bridge
22,Vancouver National Historic Reserve
23,English Estate Winery
24,Wendy the Welder Sculpture
25,Clark County Historical Museum
26,Henry J. Kaiser Shipyard Memorial
27,Brothers Cascadia Brewing
28,The Academy
29,Columbia Springs
30,Water Resources Education Center
