Rank,Attraction
1,Myra Canyon Park
2,Lake Okanagan
3,Knox Mountain Park
4,Kangaroo Creek Farm
5,Don-O-Ray Farm Adventure
6,Kasugai Japanese Garden
7,The Vibrant Vine
8,Waterfront Park
9,Summerhill Pyramid Winery
10,Mission Creek Regional Park
11,City Park
12,CedarCreek Estate Winery
13,Kelowna Farmers' and Crafters' Market
14,Ancient Hill Estate Winery
15,Tantalus Vineyards
16,Boyce-Gyro Beach Park
17,Urban Distilleries + Winery
18,Fintry Estate & Provincial Park
19,Kempf Orchards
20,Sandhill Winery
21,Kelowna Mountain Bridges & Vineyards
22,House of Rose Winery
23,Frequency Winery
24,The View Winery and Vineyard
25,Downtown Marina Kelowna
26,Okanagan Heritage Museum
27,Christie Falls
28,Arion Therapeutic Farm
29,Okanagan Spirits Craft Distillery
30,Kelowna Visitor Centre
