Rank,Attraction
1,Rialto Square Theatre
2,Chicagoland Speedway
3,Joliet Prison
4,Harrah's Joliet Casino
5,Joliet Area Historical Museum
6,"Rusty Wallace Racing Experience, Chicago Speedway"
7,Hollywood Casino Joliet
8,Joliet Slammers- DuPage Medical Group Field
9,Jacob Henry Mansion
10,Route 66 Raceway
11,Joliet Iron Works Historic Site
12,Pilcher Park
13,Route 66 Park
14,Dirt Oval at Route 66
15,Joliet's Splash Station Waterpark
16,St. Joseph Catholic Church
17,Louis Joliet Mall
18,Elder Brewing Co.
19,Richard Petty Driving Experience
20,Old Plank Road Trail
21,Nowell Park
22,Billie Limacher Bicentennial Park
23,"Team Stradale, Inc."
24,Lower Rock Run Preserve – I&M Canal Access
25,Mayor Art Schultz Park
26,Penny's
27,Autobahn Country Club
28,Heroes West Sports Grill
29,Haunted Trails
30,Chicago Street Pub
