Rank,Attraction
1,Bingham Waggoner Mansion & Estate
2,Harry S. Truman Library and Museum
3,Vaile Mansion
4,Harry S Truman National Historic Site
5,National Frontier Trails Museum
6,Independence Square
7,Cable Dahmer Arena
8,Chicago & Alton Railroad Depot
9,Leila's Hair Museum
10,Midwest Genealogy Center
11,"Jail, Marshal's Home & Museum"
12,Community of Christ International Headquarters Temple and Auditorium
13,Fleming Park
14,Waterfall Park
15,Independence Visitors' Center
16,Little Blue Trace Trail
17,The Noland Home
18,The Truman Courthouse
19,Church of Christ - Temple Lot
20,Independence Center
21,AMC Independence Commons 20
22,Adventure Oasis Water Park
23,Pharaoh Cinema 4
24,The Stone Church
25,Children's Peace Pavilion
26,Top Hat Winery
27,3 Trails Brewing
28,George Owens Nature Park
29,Apex Aleworks Brewery & Taproom
30,The Ginger House
