Rank,Attraction
1,North Bay Heritage Train and Carousel
2,Duchesnay Falls Trails
3,Canadian Forces Museum of Aerospace Defence
4,Laurier Woods Conservation Area
5,New Ontario Brewing
6,Marathon Beach
7,Laurentian Ski Hill
8,Northgate Shopping Centre
9,Lee Park
10,Kate Pace Way
11,The Cove
12,Pro-Cathedral of the Assumption
13,Discovery North Bay
14,North Bay Farmers' Market
15,Manitou Islands Provincial Park
16,North Bay Nordic Ski Club
17,Elks Lodge Family Park
18,Champlain Park
19,Kinsmen Trail
20,Laurentian Escarpment Conservation Area
21,Gateway City Brewery
22,La Vase Portage Conservation Area
23,Eva Wardlaw Park
24,Silver Beach Park
25,Widdifield Forrest Provincial Park
26,Capitol Centre
27,Chief Commanda II
28,Off the Beaten Track
29,Northern Tikes
30,Tranquility Spa
