Rank,Attraction
1,Minnesota State Fair
2,Science Museum of Minnesota
3,Cathedral of Saint Paul
4,Minnesota History Center
5,Summit Avenue
6,CHS Field
7,Historic Fort Snelling
8,Minnesota State Capitol
9,James J. Hill House
10,Xcel Energy Center
11,Grand Avenue
12,Minnesota Children's Museum
13,Fort Snelling State Park
14,Union Depot
15,Twin City Model Railroad Museum
16,The Palace Theater
17,Landmark Center
18,Ordway Center for the Performing Arts
19,Rice Park
20,St. Paul Farmers Market
21,The Raptor Center
22,Bad Weather Brewing Company
23,Como Lakeside Pavilion
24,Como Park Zoo & Conservatory
25,Mears Park
26,Keg and Case Market
27,Park Square Theatre
28,Hidden Falls Regional Park
29,History Theater
30,Bell Museum
