Rank,Attraction
1,Canadian Bushplane Heritage Centre
2,Sault ste Marie Boardwalk
3,Sault Ste. Marie Canal National Historic Site
4,Bellevue Park
5,Ermatinger-Clergue National Historic Site
6,Kinsmen Park
7,Mill Market Sault Ste. Marie
8,Algoma Central Railway
9,Ontario Travel Information Centre - Sault Ste. Marie
10,OLG Casino Sault Ste Marie
11,GFL Memorial Gardens
12,Outspoken Brewing
13,Mockingbird Hill Farm
14,Pointe Des Chenes Beach
15,Gros Cap Conservation Area
16,Sault Ste. Marie Museum
17,John Rowswell Hub Trail
18,Art Gallery of Algoma
19,Fort Creek Conservation Area
20,The Machine Shop
21,Museum Ship Norgoma
22,Roberta Bondar Park
23,Spruce Haven Zoo
24,Northern Superior Brewing Co.
25,Light the Cross
26,Laird International Raceway
27,Cambrian Mall
28,New York Fries - Station Mall
29,Pointe Aux Pins Range Lighthouses
30,Northern Ontario Country Music Hall of Fame
