Rank,Attraction
1,Stone Hall Castle
2,RCMP Heritage Centre
3,Royal Saskatchewan Museum
4,Wascana Centre Park
5,Legislative Building
6,Saskatchewan Science Centre
7,Government House
8,Regina Floral Conservatory
9,Regina Farmers' Market
10,Regina Globe Theatre
11,Kiwanis Waterfall Park
12,Casino Regina
13,Mosaic Stadium
14,Regina Climbing Centre
15,Victoria Park
16,MacKenzie Art Gallery
17,AE Wilson Park
18,Pile O' Bones Brewing
19,EVRAZ Family Park and Pool
20,Cornwall Centre
21,Centennial Market
22,Antique Mall
23,Co-Operators Centre
24,Regina Public Library
25,Evraz Place
26,Wascana View Park
27,Kings Park Speedway
28,Conexus Arts Centre
29,Outlaw Trail Spirits craft distillery
30,Holy Rosary Cathedral
