Rank,Attraction
1,Mirabeau Meadows Park
2,Spokane Valley Heritage Museum
3,Splash Down Waterpark
4,Hopped Up Brewing
5,Jump and Bounce
6,Spokane Valley Farmers Market
7,The Nut Factory
8,Escape
9,Darcy's Restaurant and Spirits
10,Bayou Tavern
11,Boomers Classic Rock Bar & Grill
12,Unit 55 Horror Games
13,Spice and Vine Mercantile
14,Flying Squirrel Spokane
15,Steady Flow Growler House
16,Players and Spectators
17,The Rock Bar and Lounge
18,Pine Street Market & Boutique
19,Altitude Trampoline Park
20,CB Quenchers Bar and Grill
21,Regal Spokane Valley Stadium 12
22,Rockin' Goodtymes
23,Iron Horse Bar & Grill
24,Genus Brewing & Supply
25,Crossfit Spokane Valley
26,The Brass Faucet Bar and Grill
27,DALEY'S CHEAP SHOTS
28,Bumpers Fun Center
29,The Ref Sports Bar
30,Bronco Inn
