Rank,Attraction
1,Grand Ole Opry
2,Ryman Auditorium
3,Country Music Hall of Fame and Museum
4,Belle Meade Historic Site & Winery
5,Andrew Jackson's Hermitage
6,Downtown Nashville
7,The Johnny Cash Museum
8,RCA Studio B
9,Gaylord Opryland Resort Gardens
10,Musicians Hall of Fame and Museum
11,Nelson's Green Brier Distillery
12,Nashville Parthenon
13,Ole Smoky Distillery & Yee-Haw Brewery
14,Cheekwood
15,Nashville Zoo
16,Centennial Park
17,Belmont Mansion
18,Tennessee State Museum
19,Lane Motor Museum
20,Bridgestone Arena
21,John Seigenthaler Pedestrian Bridge
22,Frist Art Museum
23,Radnor Lake State Park
24,Madame Tussauds Nashville
25,The District
26,Bicentennial Capitol Mall State Park
27,Cooter’s Museum and Store Nashville
28,The George Jones
29,Patsy Cline Museum
30,Opry Mills
